--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
  1|Bulbasaur |GRASS/POISON     |  45|  49|  49|  45|  65|  65|Overgrow    | -          |White Flute (common)
  2|Ivysaur   |GRASS/POISON     |  60|  62|  63|  60|  80|  80|Overgrow    | -          |Rawst Berry (common)
  3|Venusaur  |GRASS/POISON     |  80|  82|  83|  80| 100| 100|Overgrow    | -          |
  4|Charmander|FIRE             |  39|  52|  43|  65|  60|  50|Blaze       | -          |
  5|Charmeleon|FIRE             |  58|  64|  58|  80|  80|  65|Blaze       | -          |
  6|Charizard |FIRE/FLYING      |  78|  84|  78| 100| 109|  85|Blaze       | -          |Exp. Share (common)
  7|Squirtle  |WATER            |  44|  48|  65|  43|  50|  64|Torrent     | -          |Armor Fossil (common)
  8|Wartortle |WATER            |  59|  63|  80|  58|  65|  80|Torrent     | -          |TM86 (common), TM42 (rare)
  9|Blastoise |WATER            |  79|  83| 100|  78|  85| 105|Torrent     | -          |Wave Incense (100%)
 10|Caterpie  |BUG              |  45|  30|  35|  45|  20|  20|Shield Dust | -          |
 11|Metapod   |BUG              |  50|  20|  55|  30|  25|  25|Shed Skin   | -          |TM66 (rare)
 12|Butterfree|BUG/FLYING       |  60|  45|  50|  70|  80|  80|Compoundeyes| -          |
 13|Weedle    |BUG/POISON       |  40|  35|  30|  50|  20|  20|Shield Dust | -          |Dusk Stone (rare)
 14|Kakuna    |BUG/POISON       |  45|  25|  50|  35|  25|  25|Shed Skin   | -          |
 15|Beedrill  |BUG/POISON       |  65|  80|  40|  75|  45|  80|Swarm       | -          |
 16|Pidgey    |NORMAL/FLYING    |  40|  45|  40|  56|  35|  35|Keen Eye    |Tangled Feet|X Defend (common)
 17|Pidgeotto |NORMAL/FLYING    |  63|  60|  55|  71|  50|  50|Keen Eye    |Tangled Feet|
 18|Pidgeot   |NORMAL/FLYING    |  83|  80|  75|  91|  70|  70|Keen Eye    |Tangled Feet|TM25 (100%)
 19|Rattata   |NORMAL           |  30|  56|  35|  72|  25|  35|Run Away    |Guts        |
 20|Raticate  |NORMAL           |  55|  81|  60|  97|  50|  70|Run Away    |Guts        |
 21|Spearow   |NORMAL/FLYING    |  40|  60|  30|  70|  31|  31|Keen Eye    | -          |Dive Ball (common), Repel (rare)
 22|Fearow    |NORMAL/FLYING    |  65|  90|  65| 100|  61|  61|Keen Eye    | -          |
 23|Ekans     |POISON           |  35|  60|  44|  55|  40|  54|Intimidate  |Shed Skin   |TM58 (100%)
 24|Arbok     |POISON           |  60|  85|  69|  80|  65|  79|Intimidate  |Shed Skin   |
 25|Pikachu   |ELECTRIC         |  35|  55|  30|  90|  50|  40|Static      | -          |Red Flute (common), TM51 (rare)
 26|Raichu    |ELECTRIC         |  60|  90|  55| 100|  90|  80|Static      | -          |
 27|Sandshrew |GROUND           |  50|  75|  85|  40|  20|  30|Sand Veil   | -          |TM08 (rare)
 28|Sandslash |GROUND           |  75| 100| 110|  65|  45|  55|Sand Veil   | -          |
 29|Nidoran♀  |POISON           |  55|  47|  52|  41|  40|  40|Poison Point|Rivalry     |Destiny Knot (common)
 30|Nidorina  |POISON           |  70|  62|  67|  56|  55|  55|Poison Point|Rivalry     |Repeat Ball (common)
 31|Nidoqueen |POISON/GROUND    |  90|  82|  87|  76|  75|  85|Poison Point|Rivalry     |
 32|Nidoran♂  |POISON           |  46|  57|  40|  50|  40|  40|Poison Point|Rivalry     |TM72 (rare)
 33|Nidorino  |POISON           |  61|  72|  57|  65|  55|  55|Poison Point|Rivalry     |Scope Lens (common), Big Pearl (rare)
 34|Nidoking  |POISON/GROUND    |  81|  92|  77|  85|  85|  75|Poison Point|Rivalry     |TM23 (rare)
 35|Clefairy  |NORMAL           |  70|  45|  48|  35|  60|  65|Cute Charm  |Magic Guard |
 36|Clefable  |NORMAL           |  95|  70|  73|  60|  85|  90|Cute Charm  |Magic Guard |DeepSeaScale (common)
 37|Vulpix    |FIRE             |  38|  41|  40|  65|  50|  65|Flash Fire  | -          |Splash Plate (100%)
 38|Ninetales |FIRE             |  73|  76|  75| 100|  81| 100|Flash Fire  | -          |TM05 (100%)
 39|Jigglypuff|NORMAL           | 115|  45|  20|  20|  45|  25|Cute Charm  | -          |
 40|Wigglytuff|NORMAL           | 140|  70|  45|  45|  75|  50|Cute Charm  | -          |
 41|Zubat     |POISON/FLYING    |  40|  45|  35|  55|  30|  40|Inner Focus | -          |
 42|Golbat    |POISON/FLYING    |  75|  80|  70|  90|  65|  75|Inner Focus | -          |
 43|Oddish    |GRASS/POISON     |  45|  50|  55|  30|  75|  65|Chlorophyll | -          |
 44|Gloom     |GRASS/POISON     |  60|  65|  70|  40|  85|  75|Chlorophyll | -          |TM66 (rare)
 45|Vileplume |GRASS/POISON     |  75|  80|  85|  50| 100|  90|Chlorophyll | -          |
